No.,Source,Destination,Cost
1,0x0000,0x0112,7

2,0x0000,0x1cd8,1

3,0x0000,0x1e15,3

4,0x0000,0x3d95,3

5,0x0000,0x4e11,3

6,0x0000,0xa706,3

7,0x0000,0xe1a6,1

8,0x0000,0xec7f,1

9,0xe1a6,0x0000,1

10,0xe1a6,0x0112,7

11,0xe1a6,0x1cd8,1

12,0xe1a6,0x1e15,1

13,0xe1a6,0x3d95,1

14,0xe1a6,0x4e11,1

15,0xe1a6,0xa706,5

16,0xe1a6,0xec7f,1

17,0x3d95,0x0000,1

18,0x3d95,0x0112,7

19,0x3d95,0x1cd8,1

20,0x3d95,0x1e15,1

21,0x3d95,0x4e11,3

22,0x3d95,0xa706,5

23,0x3d95,0xe1a6,1

24,0x3d95,0xec7f,1

25,0x1e15,0x0000,1

26,0x1e15,0x1cd8,1

27,0x1e15,0x3d95,1

28,0x1e15,0x4e11,3

29,0x1e15,0xe1a6,1

30,0x1e15,0xec7f,1

31,0x1e15,0xa706,7

32,0x1cd8,0x0000,1

33,0x1cd8,0x0112,3

34,0x1cd8,0x1e15,1

35,0x1cd8,0x3d95,1

36,0x1cd8,0x4e11,3

37,0x1cd8,0xa706,3

38,0x1cd8,0xe1a6,1

39,0x1cd8,0xec7f,1

40,0x0112,0x0000,1

41,0x0112,0x1cd8,1

42,0x0112,0x1e15,0

43,0x0112,0x3d95,7

44,0x0112,0x4e11,3

45,0x0112,0xa706,3

46,0x0112,0xe1a6,7

47,0x0112,0xec7f,1

48,0x4e11,0x0000,1

49,0x4e11,0x0112,7

50,0x4e11,0x1cd8,1

51,0x4e11,0x1e15,3

52,0x4e11,0x3d95,2

53,0x4e11,0xa706,0

54,0x4e11,0xe1a6,1

55,0x4e11,0xec7f,1

56,0xec7f,0x0000,1

57,0xec7f,0x0112,7

58,0xec7f,0x1cd8,1

59,0xec7f,0x1e15,1

60,0xec7f,0x3d95,1

61,0xec7f,0x4e11,1

62,0xec7f,0xa706,5

63,0xec7f,0xe1a6,1

